1;4599-6654-4298-2051;2014-12-22T10:55:58.521Z;79.7
2;4599-6654-4298-2051;2014-07-29T09:24:31.368Z;84.5
3;4599-6654-4298-2051;2014-11-06T13:29:41.933Z;81.2
4;4599-6654-4298-2051;2014-05-28T10:57:05.431Z;89.1
5;4599-6654-4298-2051;2014-11-06T23:46:17.892Z;82.2
6;4599-6654-4298-2051;2014-07-30T17:30:19.304Z;86.9
7;4599-6654-4298-2051;2014-09-10T07:27:56.310Z;85
8;4599-6654-4298-2051;2014-06-21T09:34:13.737Z;84.5
9;4599-6654-4298-2051;2014-06-19T00:29:44.897Z;86
10;4599-6654-4298-2051;2014-10-02T12:27:01.059Z;84.9
11;4599-6654-4298-2051;2014-07-13T23:04:29.590Z;84
12;4599-6654-4298-2051;2014-03-02T17:29:20.234Z;89.6
13;4599-6654-4298-2051;2014-06-29T15:15:27.332Z;85.3
14;4599-6654-4298-2051;2014-11-12T21:58:18.069Z;81.2
15;4599-6654-4298-2051;2014-02-07T17:17:49.722Z;91.5
16;4599-6654-4298-2051;2014-08-30T13:05:57.252Z;82.1
17;4599-6654-4298-2051;2014-10-23T01:13:53.180Z;81.2
18;4599-6654-4298-2051;2014-04-27T17:45:13.316Z;86.4
19;4599-6654-4298-2051;2014-01-24T20:10:08.218Z;92.2
20;4599-6654-4298-2051;2014-12-05T14:29:43.770Z;78.2
21;4599-6654-4298-2051;2014-08-27T06:15:35.542Z;84.4
22;4599-6654-4298-2051;2014-06-22T21:22:33.845Z;85.5
23;4599-6654-4298-2051;2014-08-29T21:07:44.383Z;83.6
24;4599-6654-4298-2051;2014-03-15T06:52:17.418Z;91.7
25;4599-6654-4298-2051;2014-04-19T03:06:59.267Z;89.5
26;4599-6654-4298-2051;2014-04-27T12:24:43.097Z;90.9
27;4599-6654-4298-2051;2014-06-09T18:37:56.796Z;87.6
28;4599-6654-4298-2051;2014-12-28T15:45:06.746Z;78.6
29;4599-6654-4298-2051;2014-03-18T22:57:20.199Z;90.5
30;4599-6654-4298-2051;2014-07-17T06:33:05.772Z;85.6
31;4599-6654-4298-2051;2014-06-14T07:33:16.147Z;87.1
